,size,H,name,slope,intercept,r_value
114,7500,0.8,0.80_3,0.09321729585192043,44.78809508787795,0.04042259793620604
115,8000,0.8,0.80_3,0.07086870720340355,45.46249682239415,0.0308855128525012
116,8500,0.8,0.80_3,0.0781655102977652,43.15743134855371,0.0338987713420633
117,9000,0.8,0.80_3,0.09670741113343859,40.75915012095301,0.04183151356839064
118,9500,0.8,0.80_3,0.1055085804793569,40.338534090829754,0.045685001251797364
119,10000,0.8,0.80_3,0.2651499715438297,40.012311536519405,0.08350016704291048
120,10500,0.8,0.80_3,0.9799986503518016,-15.518286196998702,0.22252550689632755
121,11000,0.8,0.80_3,0.6348361528588807,17.238133512476082,0.1618723091184593
122,11500,0.8,0.80_3,0.41378731966493565,37.90024333995572,0.1153772550265013
123,12000,0.8,0.80_3,0.31658569963557853,45.822658703077614,0.09074014384662694
124,12500,0.8,0.80_3,0.30727669383533845,45.52485823416724,0.08825539917843818
125,13000,0.8,0.80_3,0.30432309540818603,43.84966642972759,0.08718723311103044
126,13500,0.8,0.80_3,0.3280601955175274,42.16090425343497,0.09356338800642976
127,14000,0.8,0.80_3,0.41619267931098197,35.90006249723615,0.11471531981496966
128,14500,0.8,0.80_3,0.6967866504776322,14.132565968966063,0.17368753082199737
129,15000,0.8,0.80_3,0.5895056963860331,24.94119371924127,0.15142394375408835
130,15500,0.8,0.80_3,0.5590469389140764,27.633930131195257,0.1479271189221044
131,16000,0.8,0.80_3,0.49273743812700943,33.82583119768229,0.13375210219301717
132,16500,0.8,0.80_3,0.468213519150158,35.08154987311295,0.12791472341693455
133,17000,0.8,0.80_3,0.46412552108951044,33.521984635471966,0.12656619298981983
134,17500,0.8,0.80_3,0.4896846596322812,30.8900858919949,0.1328401656094344
135,18000,0.8,0.80_3,0.512597295497475,26.724127721028523,0.13877390859339175
136,18500,0.8,0.80_3,0.5286762785606572,24.293127136959328,0.14424574624921277
137,19000,0.8,0.80_3,0.5084135621310755,29.45669209944458,0.13953906136689453
138,19500,0.8,0.80_3,0.5241434601237173,31.32918622766823,0.13828015390668308
139,20000,0.8,0.80_3,0.5843297114650265,26.735050705538328,0.14889666313847233
140,20500,0.8,0.80_3,0.6470652486922462,22.772810080612928,0.1564834876028262
141,21000,0.8,0.80_3,0.6496548932859804,22.815967026449485,0.15835754278649827
142,21500,0.8,0.80_3,0.6578885137645814,22.42241596846999,0.16266345000978083
143,22000,0.8,0.80_3,0.6621135773147592,22.114212365095014,0.17076200825387955
144,22500,0.8,0.80_3,0.6609959166462143,22.75022619660639,0.17963239359225508
145,23000,0.8,0.80_3,0.6166065640793748,29.440083110508823,0.17837785981902501
